,treat,age,education*,black,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,1.0,1.0,0,0.7365574716376075,1.028152030799881,9930
1,1.0,22,9,0.0,0.0,1.0,0,0.630688183407799,0.5351702591982817,3595
2,1.0,30,12,1.0,0.0,0.0,0,0.8393747559447,1.65358330146034,24909
3,1.0,27,11,1.0,0.0,1.0,0,0.9950200590776148,5.297344868841051,7506
4,1.0,33,8,1.0,0.0,1.0,0,0.9802576785338026,3.9050508451536556,289
5,1.0,22,9,1.0,0.0,1.0,0,0.9951189704128448,5.317506119678869,4056
6,1.0,23,12,1.0,0.0,0.0,0,0.9805459490438452,3.9200541836493175,0
7,1.0,32,11,1.0,0.0,1.0,0,0.9809696871948062,3.9425084405342856,8472
8,1.0,22,16,1.0,0.0,0.0,0,0.40347239694245657,-0.39101743919546345,2164
9,1.0,33,12,0.0,1.0,0.0,0,0.002577946317098016,-5.958180923207912,12418
10,1.0,19,9,1.0,0.0,1.0,0,0.9949300692951301,5.279345302742066,8173
11,1.0,21,13,1.0,0.0,0.0,0,0.9750431981935546,3.6653353733189813,17094
12,1.0,18,8,1.0,0.0,1.0,0,0.9937318308865525,5.065983077839076,0
13,1.0,27,10,1.0,1.0,1.0,0,0.9578794919022147,3.1241872284313295,18739
14,1.0,17,7,1.0,0.0,1.0,0,0.99269365554574,4.911679038439869,3023
15,1.0,19,10,1.0,0.0,1.0,0,0.9950422427487529,5.301831719890074,3228
16,1.0,27,13,1.0,0.0,0.0,0,0.9820115426537663,3.999872768855899,14581
17,1.0,23,10,1.0,0.0,1.0,0,0.9952311438664675,5.340868543721584,7693
18,1.0,40,12,1.0,0.0,0.0,0,0.7791247932138579,1.2605733628679514,10804
19,1.0,26,12,1.0,0.0,0.0,0,0.9823255672763932,4.017803671891447,10747
20,1.0,23,11,1.0,0.0,1.0,0,0.9950200590776148,5.297344868841051,0
21,1.0,41,14,0.0,0.0,0.0,0,0.04847593413650836,-2.9769975075457866,5149
22,1.0,38,9,0.0,0.0,1.0,0,0.5013458052329692,0.005383233931993708,6408
23,1.0,24,11,1.0,0.0,1.0,0,0.9950200590776148,5.297344868841051,1991
24,1.0,33,11,1.0,0.0,1.0,7867,0.814559665818496,1.4799144982035475,6281
25,1.0,18,10,1.0,0.0,1.0,0,0.9938053967352651,5.077862937731889,11163
26,1.0,29,11,1.0,1.0,1.0,0,0.9631205221792873,3.2625233170875445,9642
27,1.0,25,11,1.0,0.0,1.0,0,0.9950200590776148,5.297344868841051,9897
28,1.0,27,10,0.0,0.0,1.0,0,0.5885307589703117,0.3578949231496721,11142
29,1.0,17,10,1.0,0.0,1.0,0,0.993754701287365,5.069661422091515,16218
30,1.0,24,11,1.0,0.0,1.0,0,0.9950200590776148,5.297344868841051,995
31,1.0,17,10,1.0,0.0,1.0,0,0.993754701287365,5.069661422091515,0
32,1.0,26,11,1.0,1.0,1.0,2754,0.9176543972996734,2.4108957886976388,26372
33,1.0,48,4,1.0,0.0,1.0,0,0.6719067596562899,0.7168217430570836,6551
34,1.0,25,11,1.0,1.0,1.0,0,0.9627359067946719,3.251748919743568,1574
35,1.0,20,12,1.0,0.0,0.0,0,0.9805459490438452,3.9200541836493175,0
36,1.0,25,12,1.0,0.0,0.0,0,0.9825726428430563,4.032133055818287,3191
37,1.0,42,14,1.0,0.0,0.0,0,0.9332447679657979,2.637634834784018,20505
38,1.0,25,5,1.0,0.0,1.0,0,0.994650687149887,5.225423493900989,6181
39,1.0,23,12,1.0,1.0,0.0,0,0.5640159486712842,0.25747686572552164,5911
40,1.0,46,8,1.0,1.0,1.0,0,0.8245170453052393,1.5472559013487268,3094
41,1.0,24,10,1.0,0.0,1.0,0,0.9952311438664675,5.340868543721584,0
42,1.0,21,12,1.0,0.0,0.0,0,0.9805459490438452,3.9200541836493175,1254
43,1.0,19,9,0.0,0.0,1.0,0,0.5422477163979335,0.1693947660566646,13188
44,1.0,17,8,1.0,0.0,1.0,0,0.9936811354386523,5.057876831891828,8061
