,treat,education*,black,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
0,1.0,11,1.0,1.0,1.0,0,0,0.9780931181008509,3.798804048855356,9930
1,1.0,9,0.0,0.0,1.0,0,0,0.9901482440134459,4.610204961304324,3595
2,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,24909
3,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,7506
4,1.0,8,1.0,0.0,1.0,0,0,0.9993348615618483,7.314850001561726,289
5,1.0,9,1.0,0.0,1.0,0,0,0.99910396271625,7.0166320955618415,4056
6,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,0
7,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,8472
8,1.0,16,1.0,0.0,0.0,0,0,0.7791146159121525,1.260514224207006,2164
9,1.0,12,0.0,1.0,0.0,0,0,0.0941149283663374,-2.2643957678482645,12418
10,1.0,9,1.0,0.0,1.0,0,0,0.99910396271625,7.0166320955618415,8173
11,1.0,13,1.0,0.0,0.0,0,0,0.9986085972281217,6.576050480654559,17094
12,1.0,8,1.0,0.0,1.0,0,0,0.9993348615618483,7.314850001561726,0
13,1.0,10,1.0,1.0,1.0,0,0,0.9189696183060746,2.4284288953070163,18739
14,1.0,7,1.0,0.0,1.0,0,0,0.998801678024979,6.725634014410003,3023
15,1.0,10,1.0,0.0,1.0,0,0,0.9991597810053295,7.081007419987802,3228
16,1.0,13,1.0,0.0,0.0,0,0,0.9986085972281217,6.576050480654559,14581
17,1.0,10,1.0,0.0,1.0,0,0,0.9991597810053295,7.081007419987802,7693
18,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,10804
19,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,10747
20,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,0
21,1.0,14,0.0,0.0,0.0,0,0,0.5336641220934525,0.13486051368560917,5149
22,1.0,9,0.0,0.0,1.0,0,0,0.9901482440134459,4.610204961304324,6408
23,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,1991
24,1.0,10,1.0,0.0,1.0,0,0,0.9991597810053295,7.081007419987802,11163
25,1.0,11,1.0,1.0,1.0,0,0,0.9780931181008509,3.798804048855356,9642
26,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,9897
27,1.0,10,0.0,0.0,1.0,0,0,0.9871706254024283,4.343105465119281,11142
28,1.0,10,1.0,0.0,1.0,0,0,0.9991597810053295,7.081007419987802,16218
29,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,995
30,1.0,10,1.0,0.0,1.0,0,0,0.9991597810053295,7.081007419987802,0
31,1.0,4,1.0,0.0,1.0,0,0,0.9678375500542008,3.4042646316853364,6551
32,1.0,11,1.0,1.0,1.0,0,0,0.9780931181008509,3.798804048855356,1574
33,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,0
34,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,3191
35,1.0,14,1.0,0.0,0.0,0,0,0.9980277328544003,6.22659734798028,20505
36,1.0,5,1.0,0.0,1.0,0,0,0.9984638713536769,6.476952583945626,6181
37,1.0,12,1.0,1.0,0.0,0,0,0.2805201212567258,-0.9418831044003292,5911
38,1.0,8,1.0,1.0,1.0,0,0,0.8904639079944137,2.095488469557838,3094
39,1.0,10,1.0,0.0,1.0,0,0,0.9991597810053295,7.081007419987802,0
40,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,1254
41,1.0,9,0.0,0.0,1.0,0,0,0.9901482440134459,4.610204961304324,13188
42,1.0,8,1.0,0.0,1.0,0,0,0.9993348615618483,7.314850001561726,8061
43,1.0,8,0.0,1.0,1.0,0,0,0.15062577681906494,-1.7297014087911082,2787
44,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,3972
45,1.0,11,1.0,1.0,1.0,0,0,0.9780931181008509,3.798804048855356,0
46,1.0,8,1.0,0.0,1.0,0,0,0.9993348615618483,7.314850001561726,0
47,1.0,9,1.0,0.0,1.0,0,0,0.99910396271625,7.0166320955618415,0
48,1.0,5,1.0,0.0,1.0,0,0,0.9984638713536769,6.476952583945626,12187
49,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,4843
50,1.0,8,1.0,0.0,1.0,0,0,0.9993348615618483,7.314850001561726,0
51,1.0,11,1.0,1.0,1.0,0,0,0.9780931181008509,3.798804048855356,8087
52,1.0,11,1.0,0.0,1.0,0,0,0.9988245662887077,6.744941958423841,0
53,1.0,12,1.0,0.0,0.0,0,0,0.9988018330585119,6.725763553522812,2348
54,1.0,11,1.0,1.0,1.0,0,0,0.9780931181008509,3.798804048855356,590
