treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,re78sq,re75sq,educsq,ageboxcox,re78boxcox,re75boxcox,lnre78,lnre75,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16
1,37,1,0,1,1,0,9930,11,1,0,0,1,1,0,1,11,37,11,0,1369,98604900,1,121,0.771270555358959,30.333640275812247,0.0,9.203315757039219,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,0,1,0,1,0,3595,9,1,0,1,0,0,0,1,9,0,0,1,484,12924025,1,81,0.7641038566896158,23.28744855889639,0.0,8.187299270155147,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,30,1,0,0,0,0,24909,12,1,0,0,1,0,0,0,0,30,12,0,900,620458281,1,144,0.7689378349730367,38.240971388236375,0.0,10.122984462930141,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,1,0,0,1,0,7506,11,1,0,0,1,0,0,1,11,27,11,0,729,56340036,1,121,0.7675064085921748,28.231312488946198,0.0,8.923457979694966,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,33,1,0,0,1,0,289,8,1,0,0,1,0,0,1,8,33,8,0,1089,83521,1,64,0.7700760388896652,11.361518290553837,0.0,5.666426688112432,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,22,1,0,0,1,0,4056,9,1,0,0,1,0,0,1,9,22,9,0,484,16451136,1,81,0.7641038566896158,24.043284036980776,0.0,8.30795254527102,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,1,0,0,0,0,0,12,1,0,0,1,0,0,0,0,23,12,0,529,1,1,144,0.7649202325815845,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,32,1,0,0,1,0,8472,11,1,0,0,1,0,0,1,11,32,11,0,1024,71774784,1,121,0.7697236723994276,29.124719774456747,0.0,9.044521887281242,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,1,0,0,0,0,2164,16,1,0,0,1,0,0,0,0,22,16,0,484,4682896,1,256,0.7641038566896158,20.32080516611384,0.0,7.679713639966372,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,33,0,0,1,0,0,12418,12,1,0,0,0,1,0,0,0,0,0,0,1089,154206724,1,144,0.7700760388896652,32.10989169625465,0.0,9.426902311924838,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
