treat,age,black,hispanic,married,nodegree,re74,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,u74,educ_re74,hisp_u74,black_u74,married_u74,married_re74,nodegree_u74,nodegree_re74,agesq,re78sq,re75sq,educsq,re74sq,ageboxcox,re78boxcox,re75boxcox,re74boxcox,lnre78,lnre75,lnre74,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16
0,23,1,0,0,1,0,0,0,10,1,0,0,1,0,0,1,10,23,10,0,1,0,0,1,0,0,1,0,529,1,1,100,1,0.9549026515456931,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,26,0,0,0,0,0,0,12383,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,676,153338689,1,144,1,0.9598877816879293,25.685109387361102,0.0,0.0,9.424079843215099,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,22,1,0,0,1,0,0,0,9,1,0,0,1,0,0,1,9,22,9,0,1,0,0,1,0,0,1,0,484,1,1,81,1,0.9529384923193408,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,18,1,0,0,1,0,0,10740,9,1,0,0,1,0,0,1,9,18,9,0,1,0,0,1,0,0,1,0,324,115347600,1,81,1,0.9428969602292465,24.87271720809161,0.0,0.0,9.281730368062856,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,45,1,0,0,1,0,0,11796,11,1,0,0,1,0,0,1,11,45,11,0,1,0,0,1,0,0,1,0,2025,139145616,1,121,1,0.9760148868153693,25.405529396787827,0.0,0.0,9.375515769935166,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,18,1,0,0,1,0,0,9227,9,1,0,0,1,0,0,1,9,18,9,0,1,0,0,1,0,0,1,0,324,85137529,1,81,1,0.9428969602292465,24.029566938622036,0.0,0.0,9.129889247578555,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,24,0,0,0,1,0,0,10569,8,1,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,1,0,576,111703761,1,64,1,0.9567029759406541,24.782463603476227,0.0,0.0,9.265680467009346,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,34,1,0,1,1,0,0,6040,11,1,0,0,1,1,0,1,11,34,11,0,1,0,0,1,1,0,1,0,1156,36481600,1,121,1,0.9688771760228692,21.798930077263673,0.0,0.0,8.706159290928861,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,24,0,1,0,1,0,0,3880,4,1,0,1,0,0,0,1,4,0,0,1,1,0,1,0,0,0,1,0,576,15054400,1,16,1,0.9567029759406541,19.649611853906173,0.0,0.0,8.263590432617319,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,36,1,0,0,1,0,0,0,10,1,0,0,1,0,0,1,10,36,10,0,1,0,0,1,0,0,1,0,1296,1,1,100,1,0.9704997207458745,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,21,1,0,0,0,0,0,5775,14,1,0,0,1,0,0,0,0,21,14,0,1,0,0,1,0,0,0,0,441,33350625,1,196,1,0.950787076792791,21.57288506238902,0.0,0.0,8.661293535389994,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,28,1,0,0,1,0,0,0,9,1,0,0,1,0,0,1,9,28,9,0,1,0,0,1,0,0,1,0,784,1,1,81,1,0.9626171988577635,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,27,1,0,1,1,0,0,0,7,1,0,0,1,1,0,1,7,27,7,0,1,0,0,1,1,0,1,0,729,1,1,49,1,0.9613030849621761,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,19,0,0,0,1,0,0,0,11,1,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,1,0,361,1,1,121,1,0.9458041228797351,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
