treat,age,education,black,hispanic,married,nodegree,lnre74,lnre75,lnre78,propensity_score,propensity_logit,re78
1.0,0.4039291524194548,-1.80618313651463,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,-1.4392541475612037,0.3523809523809524,-0.6085897925318822,1
1.0,0.8367103871545849,0.403799251063693,1.0,0.0,1.0,1.0,-0.5861590880804063,-0.7225472790764654,0.9245700795458192,1.0,inf,14509
1.0,-1.038674963364312,-1.069522340655189,1.0,0.0,0.0,1.0,-0.5861590880804063,1.481163997270275,0.6622662499552174,0.3523809523809524,-0.6085897925318822,5010
1.0,-0.8944145517859353,0.403799251063693,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,0.7604085199393188,0.3523809523809524,-0.6085897925318822,7458
1.0,2.5678353260951052,-1.069522340655189,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,-1.4392541475612037,0.3523809523809524,-0.6085897925318822,1
1.0,-1.1829353749426887,-1.80618313651463,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,0.7795880305806928,0.3523809523809524,-0.6085897925318822,8061
1.0,-0.31737290547242863,-1.80618313651463,0.0,1.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,0.5992780340055217,0.3523809523809524,-0.6085897925318822,3881
1.0,-0.31737290547242863,1.140460046923134,1.0,0.0,0.0,0.0,-0.5861590880804063,-0.7225472790764654,0.6539033900626705,1.0,inf,4843
1.0,-0.605893728629182,1.877120842782575,1.0,0.0,0.0,0.0,-0.5861590880804063,-0.7225472790764654,0.9650154537959118,0.3523809523809524,-0.6085897925318822,17094
1.0,-0.605893728629182,-1.80618313651463,1.0,0.0,0.0,1.0,1.2925594484736183,1.5130057346418788,0.623360607690288,0.3523809523809524,-0.6085897925318822,4279
1.0,-0.17311249389405192,1.140460046923134,1.0,0.0,0.0,0.0,2.009862954599585,1.441576627782064,0.7135207309225534,0.3523809523809524,-0.6085897925318822,6167
1.0,-0.605893728629182,1.140460046923134,1.0,0.0,0.0,0.0,1.804333571367805,1.4848643931671106,0.8167337582503554,0.3523809523809524,-0.6085897925318822,9371
1.0,-0.028852082315675234,1.140460046923134,1.0,0.0,0.0,0.0,2.022639731821265,1.3965929956088377,-1.4392541475612037,0.6,0.4054651081081642,1
1.0,-1.038674963364312,0.403799251063693,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,0.6524218195963,0.6,0.4054651081081642,4814
1.0,0.6924499755762082,1.140460046923134,1.0,0.0,0.0,0.0,-0.5861590880804063,-0.7225472790764654,1.0578911621221054,0.3523809523809524,-0.6085897925318822,24909
1.0,0.11540832926270145,1.140460046923134,1.0,0.0,1.0,0.0,1.8755803819262498,1.6354255458618232,0.3519502395809613,0.6,0.4054651081081642,1424
1.0,-0.028852082315675234,0.403799251063693,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,0.8302054540199489,0.3523809523809524,-0.6085897925318822,9897
1.0,0.8367103871545849,1.140460046923134,0.0,0.0,0.0,0.0,-0.5861590880804063,1.4185060836715688,0.4892034905463405,0.6,0.4054651081081642,2484
1.0,0.11540832926270145,0.403799251063693,1.0,0.0,0.0,1.0,-0.5861590880804063,-0.7225472790764654,0.9669702816923135,0.3523809523809524,-0.6085897925318822,17230
1.0,0.5481895639978315,1.140460046923134,1.0,0.0,0.0,0.0,1.945816709671484,1.3198429083967524,-1.4392541475612037,0.3523809523809524,-0.6085897925318822,1
