treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,0.23809523809523808,-1.1631508098056809,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.03007518796992481,-3.4735180432417816,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.08823529411764706,-2.3353749158170363,99
1.0,18,8,1.0,0.0,0.0,1.0,1199,0.9051724137931034,2.2560650773591524,0
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.576271186440678,0.3074846997479607,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,0.576271186440678,0.3074846997479607,9371
1.0,18,10,1.0,0.0,0.0,1.0,798,0.9051724137931034,2.2560650773591524,9737
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.576271186440678,0.3074846997479607,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.9051724137931034,2.2560650773591524,0
1.0,18,10,1.0,0.0,0.0,1.0,1371,0.9051724137931034,2.2560650773591524,12064
1.0,38,12,0.0,0.0,0.0,0.0,0,0.6037735849056604,0.4212134650763035,4941
1.0,23,10,1.0,0.0,0.0,1.0,2217,0.9051724137931034,2.2560650773591524,0
1.0,27,11,1.0,0.0,0.0,1.0,2666,0.9051724137931034,2.2560650773591524,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.23809523809523808,-1.1631508098056809,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.576271186440678,0.3074846997479607,672
1.0,43,9,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.5,0.0,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,549
1.0,18,9,1.0,0.0,0.0,1.0,1182,0.9051724137931034,2.2560650773591524,5100
1.0,17,9,0.0,1.0,0.0,1.0,74,0.6037735849056604,0.4212134650763035,6210
1.0,17,9,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,0
1.0,22,11,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,6456
1.0,19,10,1.0,0.0,0.0,1.0,3473,0.576271186440678,0.3074846997479607,5861
1.0,20,9,0.0,1.0,0.0,1.0,8015,0.6037735849056604,0.4212134650763035,5487
1.0,20,9,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,8881
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.576271186440678,0.3074846997479607,7976
1.0,26,11,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,17230
1.0,20,11,1.0,0.0,0.0,1.0,0,0.9051724137931034,2.2560650773591524,3972
