,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,1,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.09382716049382717,0.9061728395061729,-2.2677756883281845
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.6086206896551725,0.3913793103448276,0.4415180394518943
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.00834688346883469,0.9916531165311653,-4.777485133288987
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.00834688346883469,0.9916531165311653,-4.777485133288987
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.00834688346883469,0.9916531165311653,-4.777485133288987
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.00834688346883469,0.9916531165311653,-4.777485133288987
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.00834688346883469,0.9916531165311653,-4.777485133288987
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.00834688346883469,0.9916531165311653,-4.777485133288987
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.00834688346883469,0.9916531165311653,-4.777485133288987
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.996969696969697,0.0030303030303030303,5.796057750765366
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.00834688346883469,0.9916531165311653,-4.777485133288987
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.00834688346883469,0.9916531165311653,-4.777485133288987
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.00834688346883469,0.9916531165311653,-4.777485133288987
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.09382716049382717,0.9061728395061729,-2.2677756883281845
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.00834688346883469,0.9916531165311653,-4.777485133288987
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.00834688346883469,0.9916531165311653,-4.777485133288987
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.00834688346883469,0.9916531165311653,-4.777485133288987
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.00834688346883469,0.9916531165311653,-4.777485133288987
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.00834688346883469,0.9916531165311653,-4.777485133288987
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.00834688346883469,0.9916531165311653,-4.777485133288987
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.00834688346883469,0.9916531165311653,-4.777485133288987
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.9519230769230769,0.04807692307692308,2.9856819377004884
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.6086206896551725,0.3913793103448276,0.4415180394518943
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.00834688346883469,0.9916531165311653,-4.777485133288987
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.00834688346883469,0.9916531165311653,-4.777485133288987
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.00834688346883469,0.9916531165311653,-4.777485133288987
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.09382716049382717,0.9061728395061729,-2.2677756883281845
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.00834688346883469,0.9916531165311653,-4.777485133288987
