,treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,re78sq,re75sq,educsq,ageboxcox,re78boxcox,re75boxcox,lnre78,lnre75,education_1,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17,education_18,propensity_score,propensity_logit
0,1.0,37,1.0,0.0,1.0,1.0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1369,98604900,1,121,4.935568135070046,128.95645712390143,0.0,9.20331575703922,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.17592663,-1.5441926
1,1.0,22,0.0,1.0,0.0,1.0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,484,12924025,1,81,4.031805260868567,81.57234436631065,0.0,8.187299270155147,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.39133173,-0.4417178
2,1.0,30,1.0,0.0,0.0,0.0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,900,620458281,1,144,4.561636201904492,194.5779478276214,0.0,10.12298446293014,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6235328,0.50457036
3,1.0,27,1.0,0.0,0.0,1.0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,56340036,1,121,4.378603334624191,113.72279052339164,0.0,8.923457979694966,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.49963883,-0.0014447869
4,1.0,33,1.0,0.0,0.0,1.0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1089,83521,1,64,4.729971912479329,25.3199800640238,0.0,5.666426688112432,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7090157,0.8906085
5,1.0,22,1.0,0.0,0.0,1.0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,484,16451136,1,81,4.031805260868567,86.1534245505414,0.0,8.30795254527102,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5958742,0.38830325
6,1.0,23,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,529,1,1,144,4.106087574170275,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.71201086,0.90517044
7,1.0,32,1.0,0.0,0.0,1.0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1024,71774784,1,121,4.67533385715455,120.08274057460068,0.0,9.044521887281242,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4168356,-0.33577716
8,1.0,22,1.0,0.0,0.0,0.0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,484,4682896,1,256,4.031805260868567,64.75951924287105,0.0,7.679713639966372,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.15037328,-1.7316763
9,1.0,33,0.0,0.0,1.0,0.0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1089,154206724,1,144,4.729971912479329,142.55262728646008,0.0,9.426902311924838,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5561941,0.22573008
