,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.9166081173397478,2.397129053544597
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.9562867361978374,3.0854062257926422
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.996881996663525,5.7674395638412355
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.9988379961499871,6.756446627793884
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.9987717273906078,6.700917451720866
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.9978694029418449,6.149220159537887
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.9984252317002199,6.452071119226524
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.9987587213349409,6.6903711994788395
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.8238755633463042,1.5428287314949183
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.26706065414358426,-1.0095871489760693
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9992165134165255,7.15097282648132
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.9969213785443983,5.7801899913808485
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9992769712614236,7.23133829727719
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.9532484772569031,3.0150287740647017
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9992769712614236,7.23133829727719
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9992683861724572,7.219525859624698
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9989248798622483,6.834247169104696
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.9989608098130153,6.868273804988332
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.9983032941972617,6.377368524068647
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.9988428994988084,6.760680200478697
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.9988032086204495,6.726913645579408
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.5313866410064336,0.12571185979075045
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.9619881934125222,3.231105366490729
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.998782081859886,6.709393659992893
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9992719639899885,7.224431745532498
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.9957694487007235,5.461183438217407
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.9988099888366302,6.732601871130776
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.9507751238335934,2.960878462880436
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.9992719639899885,7.224431745532498
